
1970	,29579
1971	,31637
1972	,32244
1973	,32481
1974	,32690
1975	,37568
1976	,41606
1977	,42635
1978	,47728
1979	,45955
1980	,48069
1981	,53064
1982	,52967
1983	,57094
1984	,63019
1985	,66980
1986	,70297
1987	,69180
1988	,76819
1989	,80694
1990	,84209
1991	,87288
1992	,90170
1993	,94503
1994	,100126
1995	,104693
1996	,104165
1997	,104926
1998	,105080
1999,	106728
2000	,107622
2001 ,	107296
2002 ,	114959
2003	,124573
2004	,137589
2005	,151557
2006,	167365
